,angle,VV_db,VV_db2,VV_var_db,VV_var_db2,GPM,P6d
2020-01-06,36.69485092163086,-17.26867057348895,-18.51410556164562,-46.91462967312275,-43.74811721917867,1.6439508441835642,0.102
2020-01-12,36.69372177124023,-18.51410556164562,-20.05547791625241,-43.74811721917867,-43.45592030310763,1.979394598864019,0.476
2020-01-12,36.69372177124023,-18.51410556164562,-20.05547791625241,-43.74811721917867,-43.45592030310763,1.979394598864019,0.476
2020-01-18,36.6942024230957,-20.05547791625241,-16.75813678590933,-43.45592030310763,-47.02680582078527,0.1936184819205664,0.272
2020-01-18,36.6942024230957,-20.05547791625241,-16.75813678590933,-43.45592030310763,-47.02680582078527,0.1936184819205664,0.272
2020-01-24,36.69386672973633,-16.75813678590933,-17.08003644991286,-47.02680582078527,-53.77618199651349,0.05088077858090401,0.6120000000000001
2020-01-24,36.69386672973633,-16.75813678590933,-17.08003644991286,-47.02680582078527,-53.77618199651349,0.05088077858090401,0.6120000000000001
2020-02-05,36.69309234619141,-17.08003644991286,-18.79160337149035,-53.77618199651349,-46.96938024340507,2.063414679665584,0.323
2020-02-05,36.69309234619141,-17.08003644991286,-18.79160337149035,-53.77618199651349,-46.96938024340507,2.063414679665584,0.323
2020-02-11,36.69332885742188,-18.79160337149035,-19.47140619189251,-46.96938024340507,-49.73668837514782,0.014415379613637924,0.102
2020-02-11,36.69332885742188,-18.79160337149035,-19.47140619189251,-46.96938024340507,-49.73668837514782,0.014415379613637924,0.102
2020-02-17,36.69208908081055,-19.47140619189251,-20.95717892542874,-49.73668837514782,-45.97689739388872,0.20394038403173909,0.034
2020-02-17,36.69208908081055,-19.47140619189251,-20.95717892542874,-49.73668837514782,-45.97689739388872,0.20394038403173909,0.034
2020-02-23,36.69263458251953,-20.95717892542874,-18.05631848129232,-45.97689739388872,-49.77216816335148,0.1374462591484189,0.085
2020-02-23,36.69263458251953,-20.95717892542874,-18.05631848129232,-45.97689739388872,-49.77216816335148,0.1374462591484189,0.085
2020-02-29,36.69225692749023,-18.05631848129232,-20.44189478484226,-49.77216816335148,-45.71096840213375,19.416141038323985,6.702000000000001
